actor,group,votes,per_group,per_all,date,time
Apo Nattawin,3,1972726,0.8512,0.2715,2022/7/26,23:42:19
Bright Norraphat,1,1672239,0.3983,0.2301,2022/7/26,23:42:09
Tre Porapat,1,1221914,0.291,0.1681,2022/7/26,23:42:09
Kem Hussawee,2,152265,0.2028,0.021,2022/7/26,23:42:15
Film Thanapat,1,124076,0.0296,0.0171,2022/7/26,23:42:09
Tor Thanapob,2,120828,0.161,0.0166,2022/7/26,23:42:15
Neng Sarun,1,115608,0.0275,0.0159,2022/7/26,23:42:09
Gulf Kanawut,3,114506,0.0494,0.0158,2022/7/26,23:42:19
Euro Yotsawat,1,114148,0.0272,0.0157,2022/7/26,23:42:09
Tongtong Kitsakorn,2,114020,0.1519,0.0157,2022/7/26,23:42:15
Puen Khanin,1,86110,0.0205,0.0118,2022/7/26,23:42:09
Mean Phiravich,1,84174,0.02,0.0116,2022/7/26,23:42:09
Mike Pattaradet,1,83531,0.0199,0.0115,2022/7/26,23:42:09
Kao Noppakao,2,80454,0.1072,0.0111,2022/7/26,23:42:15
August Vachiravit,1,80044,0.0191,0.011,2022/7/26,23:42:09
Great Warintorn,1,77361,0.0184,0.0106,2022/7/26,23:42:09
Nadech Kugimiya,2,75889,0.1011,0.0104,2022/7/26,23:42:15
James Jirayu,1,72159,0.0172,0.0099,2022/7/26,23:42:09
Krating Khunnarong,1,70521,0.0168,0.0097,2022/7/26,23:42:09
Dew Jirawat,1,68762,0.0164,0.0095,2022/7/26,23:42:09
Ice Panuwat,1,68083,0.0162,0.0094,2022/7/26,23:42:09
Mario Maurer,1,67189,0.016,0.0092,2022/7/26,23:42:09
Lee Thanat,1,67090,0.016,0.0092,2022/7/26,23:42:09
Nani Hirunkit,1,63411,0.0151,0.0087,2022/7/26,23:42:09
Pong Nawat,3,62544,0.027,0.0086,2022/7/26,23:42:19
Boy Pakorn,1,62313,0.0148,0.0086,2022/7/26,23:42:09
Perth Tanapon,3,56711,0.0245,0.0078,2022/7/26,23:42:19
Saint Suppapong,3,52114,0.0225,0.0072,2022/7/26,23:42:19
Job Thuchapon,2,49556,0.066,0.0068,2022/7/26,23:42:15
Inn Sarin,2,48383,0.0645,0.0067,2022/7/26,23:42:15
Kongthap Peak,2,32102,0.0428,0.0044,2022/7/26,23:42:15
Nunew Chawarin,3,18526,0.008,0.0025,2022/7/26,23:42:19
Pon Nawasch,2,14855,0.0198,0.002,2022/7/26,23:42:15
Ohm Pawat,3,14698,0.0063,0.002,2022/7/26,23:42:19
Mark Prin,2,12004,0.016,0.0017,2022/7/26,23:42:15
Ken Phupoom,2,10339,0.0138,0.0014,2022/7/26,23:42:15
New Thitipoom,2,6843,0.0091,9.00E-04,2022/7/26,23:42:15
Joss Way-ar,2,6036,0.008,8.00E-04,2022/7/26,23:42:15
Porshe Saran,3,5846,0.0025,8.00E-04,2022/7/26,23:42:19
Luke Ishikawa,2,5614,0.0075,8.00E-04,2022/7/26,23:42:15
Nine Naphat,2,5443,0.0073,7.00E-04,2022/7/26,23:42:15
Blue Pongtiwat,2,5414,0.0072,7.00E-04,2022/7/26,23:42:15
Toey Pongsakorn,2,5320,0.0071,7.00E-04,2022/7/26,23:42:15
Dj Push,2,5288,0.0069,7.00E-04,2022/7/26,23:42:15
James Ma,3,3951,0.0017,5.00E-04,2022/7/26,23:42:19
Tay Tawan,3,3594,0.0016,5.00E-04,2022/7/26,23:42:19
Krist Perawat,3,3474,0.0015,5.00E-04,2022/7/26,23:42:19
Gun Napat,3,1402,6.00E-04,2.00E-04,2022/7/26,23:42:19
Jes Jespipat,3,1369,6.00E-04,2.00E-04,2022/7/26,23:42:19
Alek Teeradetch,3,1277,6.00E-04,2.00E-04,2022/7/26,23:42:19
Mik Thongraya,3,1251,5.00E-04,2.00E-04,2022/7/26,23:42:19
Weir Sukollawat,3,1243,5.00E-04,2.00E-04,2022/7/26,23:42:19
Ryu Vachirawich,3,1222,5.00E-04,2.00E-04,2022/7/26,23:42:19
God Itthipat,3,1211,5.00E-04,2.00E-04,2022/7/26,23:42:19
